title,type,rating,price,description,url,preparation_time,preparation_temperature,preparation_amount,Бисквитный,Мёд,Цитрусы,Цветочный,Фруктовый,Пряные травы,Специи,Ржаной хлеб,Древесный,Ягодный,Мятный,Сухофрукты,Осенний лист,Грибной,Сливочный,Ореховый,Бальзамический,Хлебный,Овощной,Землистый,Шоколадный,Горчинка,Копченый,Черносливовый,Темный солод,Минеральный,Травянистый,Табачный,Молочный,Коньячный,Шампанское,Кислинка,Терпкость,Кофейный,Жареные семечки подсолнуха,Сладость,Хвойный,Зеленое яблоко
Да шу Юцзи Шэн (2019),puer,100.0,1850,"Шэн пуэр «Органический», в качестве сырья использованы побеги больших чайных деревьев. В сухом виде: большие, бурые, скрученные листья с длинными, тонкими черенками, серебристо-бежевые почки. Аромат сдержанный, фруктово-древесный. Настой прозрачный, светлого виноградного оттенка. Букет готового чая многогранный, пряно-древесный, с цветочными, ореховыми и фруктовыми нотками. Аромат нежный, пряно-цветочный. Вкус плотный и гладкий, маслянистый, сладковатый, с легкой терпчинкой виноградной кожицы, фруктовой кислинкой и сочным послевкусием. Заваривать горячей водой (87-92°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 6-7 г на 100 мл. Для первого раза настоять 15 секунд, после чего, начиная с экспозиции в 5 секунд и доведя время до 3 минут, можно заварить 8 раз. Превосходный шэн пуэр с насыщенным, маслянистым вкусом и гармоничным, медитативным воздействием.",https://moychay.ru/catalog/puer/shen_puer_rassypnoj/da-shu-yutszi-shen-2019,5,90,7,,,,80,60,60,,,80,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,
Юцзи Шэн Ча (2021),puer,100.0,1580,"В сухом виде: большие, бурые, скрученные листья с длинными, тонкими черенками, серебристо-бежевые почки. Аромат сдержанный, фруктово-древесный с легкой копченой ноткой. Настой прозрачный, оттенка белого винограда. Букет готового чая многогранный, пряно-древесный, с грибными, цветочными, ореховыми и фруктовыми нотками. Аромат нежный, фруктово-пряный. Вкус плотный, маслянистый, сладковатый, с легкой терпчинкой виноградной кожицы, цитрусовой кислинкой и сочным послевкусием. Заваривать горячей водой (80-90°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 6-7 г на 100 мл. Для первого раза настоять 10 секунд, после чего, начиная с экспозиции в 2-3 секунды и доведя время до 3 минут, можно заварить 8 раз. Воздействие освежающе, тонизирующее.",https://moychay.ru/catalog/puer/shen_puer_rassypnoj/yutszi-shen-cha-2021,3,85,7,,,,,80,80,,,60,,,,,40,,80,,,,,,,,,,,,,,,,,,,,,,
Юньнань Бай Хао Бай Ча,puer,88.0,1470,"В сухом виде: большие, буро-бежевые, пушистые почки. Аромат сдержанный, древесный с цветочной ноткой. Настой прозрачный, оттенка белого винограда. Букет готового чая свежий, пряно-травянистый, с цветочными, древесными, мятными и фруктовыми нотками. Аромат нежный, пряно-цветочный. Вкус плотный, шелковистый, сладковатый, с легкой терпкостью виноградной кожицы, ягодной кислинкой и сочным послевкусием. Заваривать горячей водой (85-92°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 6-7 г на 100 мл. Для первого раза настоять 15 секунд, после чего, начиная с экспозиции в 3-5 секунд и доведя время до 3 минут, можно заварить 8 раз. Воздействие освежающе, тонизирующее.",https://moychay.ru/catalog/puer/belyj_puer/yunnan-bay-hao-bay-cha,5,90,7,,,,80,60,80,,,60,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Шу пуэр ""Иу-Шушенский"" (2022)",puer,64.0,595,"В сухом виде: небольшие, коричневые, скрученные листики и их фрагменты, тонкие черенки. Аромат сдержанный, древесно-ореховый. Настой темного каштанового оттенка. Букет готового чая зрелый, орехово-древесный, с хлебными, осенними и пряными нотками. Аромат теплый, орехово-древесный. Вкус плотный, мягкий, бархатистый, с легкой горчинкой какао-бобов и нюансами специй. Заваривать горячей водой (95°С) в чайнике из пористой глины. Пропорция сухого чая к воде: 7-8 г на 100 мл. Для первого раза настоять 15 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 7 завариваний. Отличный выбор для повседневных чаепитий – насыщенный и мягкий вкус, согревающее, умеренно тонизирующее воздействие.",https://moychay.ru/catalog/puer/shu_puer_rassypnoj/shu-puer-iu-shushenskiy-2022,5,95,7,,,,,,,40,,80,,,,60,,,60,,60,,,,,,,,,,,,,,,,,,,,
Да Бай Хао Шэн Пуэр (2019),puer,60.0,760,"В сухом виде: большие, бурые, скрученные листья с длинными, тонкими черенками, серебристо-бежевые почки. Аромат сдержанный, древесный. Настой прозрачный, оттенка белого винограда. Букет готового чая яркий, пряно-древесный, с грибными, цветочными, и фруктовыми нотками. Аромат нежный, фруктово-пряный. Вкус плотный, шелковистый, сладковатый, пряный, немного терпкий, с легкой цитрусовой кислинкой и сочным послевкусием. Заваривать горячей водой (80-90°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 10 секунд, после чего, начиная с экспозиции в 2-3 секунды и доведя время до 3 минут, можно заварить 8 раз. Воздействие освежающе, тонизирующее.",https://moychay.ru/catalog/puer/shen_puer_rassypnoj/da-bay-hao-shen-puer-2019,3,85,6,,,,40,60,80,,,60,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,
"Шу Пуэр ""Булан-Шушенский"" (2022)",puer,60.0,490,"В сухом виде: среднего размера, коричневые, скрученные листики, рыжие почки и тонкие черенки. Аромат сдержанный, орехово-древесный. Настой темного каштанового оттенка. Букет готового чая зрелый, орехово-древесный, с хлебными, фруктовыми и пряными нотками. Аромат теплый, орехово-древесный. Вкус плотный, мягкий, бархатистый, сладковатый, с нюансами специй. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками. Пропорция сухого чая к воде: 7-8 г на 100 мл. Для первого раза настоять 10 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 6-7 завариваний. Отличный выбор для повседневных чаепитий. Воздействие согревающее, мягкое тонизирующее.",https://moychay.ru/catalog/puer/shu_puer_rassypnoj/shu-puer-bulan-shushenskiy-2022,5,95,8,,,,,,,40,,80,,,60,,,,60,,60,,,,,,,,,,,,,,,,,,,,
"Шу пуэр ""Бада-Шушенский"" (2022)",puer,64.0,580,"В сухом виде: среднего размера, коричневые, скрученные листики, рыжие почки и тонкие черенки. Аромат сдержанный, орехово-древесный. Настой темного каштанового оттенка. Букет готового чая зрелый, орехово-древесный, с нотками сухофруктов, печеного картофеля и осенних листьев. Аромат глубокий и теплый, орехово-древесный. Вкус плотный, мягкий, бархатистый, сладковатый, с легкой горчинкой какао-бобов, кислинкой сухих ягод и нюансами специй. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция сухого чая к воде: 7-8 г на 100 мл. Для первого раза настоять 15 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 7 завариваний. Отличный выбор для повседневных чаепитий. Воздействие согревающее, мягкое тонизирующее.",https://moychay.ru/catalog/puer/shu_puer_rassypnoj/shu-puer-bada-shushenskiy-2022,5,95,7,,,,,,,,,60,,,80,60,,,80,,,40,,,,,,,,,,,,,,,,,,,
Циньшоу Шу Ча (2020),puer,76.0,780,"В сухом виде: небольшие, коричневые, скрученные листики, рыжие почки и тонкие черенки. Аромат сдержанный, орехово-древесный. Настой темного каштанового оттенка. Букет готового чая зрелый, орехово-древесный, с хлебными, фруктовыми и пряными нотками. Аромат теплый, орехово-древесный. Вкус мягкий, бархатистый, сладковатый, с нюансами специй. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками. Пропорция сухого чая к воде: 7-8 г на 100 мл. Для первого раза настоять 10 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 6-7 завариваний. Отличный выбор для повседневных чаепитий. Воздействие согревающее, мягкое тонизирующее.",https://moychay.ru/catalog/puer/shu_puer_rassypnoj/tsinshou-shu-cha-2020,5,95,7,,,,,40,,60,,80,,,,60,,,60,,,,,,,,,,,,,,,,,,,,,,
Мэнхай #99 Шу (2022),puer,90.0,790,"В сухом виде: мелкие, коричневые, скрученные листики и рыжие почки. Аромат сдержанный, орехово-древесный. Настой темного красно-каштанового оттенка. Букет готового чая зрелый, орехово-древесный, с фруктовыми, хлебными, осенними и пряными нотками. Аромат теплый, орехово-древесный. Вкус мягкий, бархатистый, сладковатый, с нюансами специй. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция сухого чая к воде: 7-8 г на 100 мл. Для первого раза настоять 15 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 6-7 завариваний. Отличный выбор для повседневных чаепитий. Воздействие согревающее, мягкое тонизирующее.",https://moychay.ru/catalog/puer/shu_puer_rassypnoj/menhay-99-shu-2022,5,95,7,,,,,,,40,,80,,,40,80,,,60,,,,,,,,,,,,,,,,,,,,,,
Мэнсон Шу Ча (2021),puer,100.0,890,"В сухом виде: мелкие, коричневые, скрученные листики и рыжие почки. Аромат сдержанный, орехово-древесный. Настой темного каштанового оттенка. Букет готового чая зрелый, орехово-древесный, с хлебными, осенними и пряными нотками. Аромат теплый, орехово-древесный. Вкус мягкий, бархатистый, сладковатый, с нюансами специй. Заваривать горячей водой (95°С) в чайнике из пористой глины или в гайвани. Пропорция сухого чая к воде: 7-8 г на 100 мл. Для первого раза настоять 10 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 6-7 завариваний. Отличный выбор для повседневных чаепитий. Воздействие согревающее, мягкое тонизирующее.",https://moychay.ru/catalog/puer/shu_puer_rassypnoj/menson-shu-cha-2021,5,95,7,,,,,,,60,,80,,,,60,,,60,,60,,,,,,,,,,,,,,,,,,,,
Хулянь Шу Ча (2020),puer,100.0,830,"В сухом виде: мелкие, коричневые, скрученные листики и рыжие почки. Аромат сдержанный, древесный. Настой темного каштанового оттенка. Букет готового чая зрелый, орехово-древесный, с хлебными и осенними нотками. Аромат теплый, орехово-древесный. Вкус плотный, мягкий и гладкий, сладковатый, с нюансами специй и бархатистым послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками. Пропорция сухого чая к воде: 7-8 г на 100 мл. Для первого раза настоять 10 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 8 завариваний. Отличный шу пуэр с насыщенным, мягким вкусом и согревающим, умеренно тонизирующим воздействием.",https://moychay.ru/catalog/puer/shu_puer_rassypnoj/hulyan-shu-cha-2020,5,95,7,,,,,,,40,,80,,,,60,,,60,,60,,,,,,,,,,,,,,,,,,,,
Бада Лао Шэн Ча (2008),puer,60.0,2870,"В сухом виде: большие, бурые, скрученные листья с длинными, тонкими черенками, серебристо-бежевые почки. Аромат сдержанный, древесный с фруктовыми и цветочными нотками. Настой прозрачный, коньячно-янтарного оттенка. Букет готового чая зрелый, многогранный, пряно-древесный, с грибными, цветочными, фруктовыми, осенними и бальзамическими нотками. Аромат интенсивный, фруктово-пряный. Вкус плотный, мягкий, шелковистый, сладковатый, чуть терпкий, с фруктовой кислинкой, нюансами специй и сочным послевкусием. Заваривать горячей водой (92-95°С) в фарфоровой гайвани или чайнике из пористой глины. Пропорция заварки к воде: 6 г на 100 мл. Для первого раза настоять 15 секунд, после чего, начиная с экспозиции в 2-3 секунды и доведя время до 3 минут, можно заварить 10 раз. Отличный выдержанный шэн пуэр с многогранным вкусом и согревающим, медитативным воздействием.",https://moychay.ru/catalog/puer/shen_puer_rassypnoj/bada-lao-shen-cha-2008,3,95,6,,,,,80,80,,,80,,,,60,,,,60,,,,,,,,,,,,,,,,,,,,,
Наньно Шу Ча (2018),puer,92.0,930,"В сухом виде: небольшие, коричневые, скрученные листики и их фрагменты, рыжие почки и тонкие черенки. Аромат интенсивный, древесно-ореховый. Настой темного каштанового оттенка. Букет готового чая зрелый, орехово-древесный, с землистыми, хлебными, пряными и бальзамическими нотками. Аромат глубокий, теплый, сложный, древесно-ореховый с ноткой сухофруктов. Вкус плотный, мягкий, бархатистый, сладковатый, пряный, с мятной прохладой. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками. Пропорция сухого чая к воде: 7-8 г на 100 мл. Для первого раза настоять 10 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 8 завариваний. Воздействие согревающее, умеренно тонизирующее.",https://moychay.ru/catalog/puer/shu_puer_rassypnoj/nanno-shu-cha-2018,5,95,7,,,,,,,80,,80,,,,,,,60,,60,,60,,,,,,,,,,,,,,,,,,
Мэнхай Шу Шэнтай Пуэр (2020),puer,92.0,830,"В сухом виде: среднего размера, коричневые, скрученные листики, рыжие почки и тонкие черенки. Аромат очень сдержанный, древесный с тонкой овощной ноткой. Настой прозрачный, каштанового оттенка. Букет готового чая зрелый, ореховый, с нотками древесных смол, специй, какао бобов и печеного картофеля. Аромат густой и теплый, древесно-ореховый. Вкус плотный, гладкий, маслянистый, сладковатый, пряный, с мятной прохладой, кислинкой сухих ягод и бархатистым послевкусием. Заваривать горячей водой (95°С) в чайнике из пористой глины. Пропорция сухого чая к воде: 6-7 г на 100 мл. Для первого раза настоять 10 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 8 завариваний. Воздействие согревающее, умеренно тонизирующее.",https://moychay.ru/catalog/puer/shu_puer_rassypnoj/menhay-shu-shentay-puer-2020,5,95,7,,,,,,,80,,80,,,,,,,100,,,80,,40,,,,,,,,,,,,,,,,,
Буланшань Шу Пуэр (2019),puer,70.0,710,"В сухом виде: небольшие, коричневые, скрученные листики и их фрагменты, рыжие почки и тонкие черенки. Аромат сдержанный, древесно-ореховый. Настой темного каштанового оттенка. Букет готового чая зрелый, орехово-древесный, с хлебными, осенними и бальзамическими нотками. Аромат теплый, орехово-древесный. Вкус мягкий, бархатистый, сладковатый, с легкой горчинкой и нюансами специй. Заваривать горячей водой (95°С) в чайнике из пористой глины с толстыми стенками. Пропорция сухого чая к воде: 7-8 г на 100 мл. Для первого раза настоять 10 секунд, после пить проливом с постепенным увеличением экспозиции. Держит вкус и аромат 6 завариваний. Воздействие согревающее, умеренно тонизирующее.",https://moychay.ru/catalog/puer/shu_puer_rassypnoj/bulanshan-shu-puer-2019,3,95,7,,,,,,60,,,80,,,,80,,,60,,,,,,60,,,,,,,,,,,,,,,,
